K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.010000,0.002000,0.850000,0.954171,0.001950,19.867649,0.697098
64,0.010000,0.002000,0.875000,0.954839,0.002066,19.533709,0.439961
64,0.010000,0.002000,0.900000,0.955304,0.002287,16.859420,1.267358
64,0.010000,0.002000,0.925000,0.955594,0.002010,16.241478,0.306239
64,0.010000,0.002000,0.950000,0.955865,0.001959,16.241772,0.270982
64,0.010000,0.002000,0.975000,0.956233,0.001992,16.332621,0.478609
64,0.010000,0.002000,1.000000,0.956860,0.002084,16.230888,0.402638
64,0.010000,0.005000,0.750000,0.950128,0.001945,92.314989,6.622519
64,0.010000,0.005000,0.775000,0.950916,0.002221,72.927270,24.860166
64,0.010000,0.005000,0.800000,0.951694,0.002071,28.231925,1.290727
64,0.010000,0.005000,0.825000,0.952466,0.001999,24.649573,1.391213
64,0.010000,0.005000,0.850000,0.952560,0.002002,24.286488,4.580997
64,0.010000,0.005000,0.875000,0.953113,0.002054,20.479073,1.238245
64,0.010000,0.005000,0.900000,0.953526,0.002071,19.438781,0.392651
64,0.010000,0.005000,0.925000,0.953995,0.001993,19.510028,0.344544
64,0.010000,0.005000,0.950000,0.954698,0.001964,18.023255,1.561479
64,0.010000,0.005000,0.975000,0.955024,0.002050,16.292297,0.283940
64,0.010000,0.005000,1.000000,0.955168,0.002086,16.244566,0.329980
64,0.010000,0.010000,0.750000,0.949317,0.002066,90.090449,5.230946
64,0.010000,0.010000,0.775000,0.948482,0.002272,97.618201,6.479510
64,0.010000,0.010000,0.800000,0.948825,0.002253,95.090641,17.135954
64,0.010000,0.010000,0.825000,0.949791,0.001994,33.400236,1.587152
64,0.010000,0.010000,0.850000,0.950466,0.002186,28.518671,0.602459
64,0.010000,0.010000,0.875000,0.950889,0.002047,25.612248,0.498636
64,0.010000,0.010000,0.900000,0.951464,0.002182,22.570793,0.377781
64,0.010000,0.010000,0.925000,0.952085,0.002039,22.501488,0.426431
64,0.010000,0.010000,0.950000,0.952514,0.002083,19.599154,0.338973
64,0.010000,0.010000,0.975000,0.952775,0.002271,19.589406,0.354464
64,0.010000,0.010000,1.000000,0.953372,0.002065,19.521716,0.439657
64,0.010000,0.020000,0.750000,0.950856,0.002291,93.987779,4.845478
64,0.010000,0.020000,0.775000,0.949044,0.002321,103.207063,5.076477
64,0.010000,0.020000,0.800000,0.947344,0.002208,111.864521,7.333298
64,0.010000,0.020000,0.825000,0.946287,0.002187,122.567848,7.336598
64,0.010000,0.020000,0.850000,0.946846,0.002197,102.068062,29.377328
64,0.010000,0.020000,0.875000,0.947822,0.002151,40.092242,1.660578
64,0.010000,0.020000,0.900000,0.948533,0.002068,32.274197,1.565264
64,0.010000,0.020000,0.925000,0.949319,0.002089,29.767637,2.653243
64,0.010000,0.020000,0.950000,0.949815,0.002052,25.598046,0.521474
64,0.010000,0.020000,0.975000,0.950480,0.002077,25.664472,0.459067
64,0.010000,0.020000,1.000000,0.951190,0.002279,22.632616,0.478653
64,0.010000,0.050000,0.750000,0.959139,0.002434,97.704768,2.949690
64,0.010000,0.050000,0.775000,0.957199,0.002430,108.897629,3.911127
64,0.010000,0.050000,0.800000,0.955012,0.002308,120.727010,3.707444
64,0.010000,0.050000,0.825000,0.952663,0.002414,136.252001,4.725885
