K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.005000,0.100000,0.750000,0.952560,0.002430,96.464224,3.479574
64,0.005000,0.100000,0.775000,0.951525,0.002394,107.521619,6.340964
64,0.005000,0.100000,0.800000,0.950389,0.002427,116.114757,5.346234
64,0.005000,0.100000,0.825000,0.949269,0.002440,131.386822,6.120393
64,0.005000,0.100000,0.850000,0.948190,0.002443,147.603954,6.518836
64,0.005000,0.100000,0.875000,0.947068,0.002422,160.312971,6.737577
64,0.005000,0.100000,0.900000,0.946073,0.002429,165.750649,9.222660
64,0.005000,0.100000,0.925000,0.945207,0.002431,164.947542,6.529245
64,0.005000,0.100000,0.950000,0.944749,0.002402,178.305879,6.906238
64,0.005000,0.100000,0.975000,0.945236,0.002298,200.495094,12.728947
64,0.005000,0.100000,1.000000,0.946614,0.002340,93.779951,14.545762
64,0.010000,0.001000,0.750000,0.962857,0.002275,9.197082,0.826206
64,0.010000,0.001000,0.775000,0.962983,0.002288,9.129173,0.824295
64,0.010000,0.001000,0.800000,0.962893,0.002439,9.205708,0.733183
64,0.010000,0.001000,0.825000,0.962888,0.002336,9.217358,0.735075
64,0.010000,0.001000,0.850000,0.962725,0.002680,9.246586,0.703816
64,0.010000,0.001000,0.875000,0.962905,0.002278,9.181675,0.781715
64,0.010000,0.001000,0.900000,0.962836,0.002418,9.171635,0.633297
64,0.010000,0.001000,0.925000,0.962883,0.002379,9.518430,1.558323
64,0.010000,0.001000,0.950000,0.962702,0.002352,9.110539,0.774761
64,0.010000,0.001000,0.975000,0.962854,0.002408,9.104475,0.743159
64,0.010000,0.001000,1.000000,0.962786,0.002375,9.108472,0.747940
64,0.010000,0.002000,0.750000,0.962217,0.002377,9.253993,0.633607
64,0.010000,0.002000,0.775000,0.962280,0.002504,9.199692,0.881480
64,0.010000,0.002000,0.800000,0.962254,0.002497,9.122916,0.766890
64,0.010000,0.002000,0.825000,0.962104,0.002401,8.992900,0.819343
64,0.010000,0.002000,0.850000,0.962163,0.002628,9.109677,0.875510
64,0.010000,0.002000,0.875000,0.962408,0.002292,9.105551,0.722532
64,0.010000,0.002000,0.900000,0.962279,0.002401,9.106148,0.850210
64,0.010000,0.002000,0.925000,0.962325,0.002201,9.268270,0.606220
64,0.010000,0.002000,0.950000,0.962208,0.002442,9.069021,0.691415
64,0.010000,0.002000,0.975000,0.962467,0.002543,9.043153,0.849104
64,0.010000,0.002000,1.000000,0.962137,0.002432,9.045698,0.873700
